,L5,L5-,P_cons,P_prod,P_tot
2021-12-17 21:58:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:59:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:00:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:01:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:02:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:03:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:03:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 22:03:20+01:00,0.0,0.0,0.0,0.0,0.0
