,Brun-,Brun,Gris,Gris-,Noir,Noir-,PV_Brun-,PV_Brun,PV_Gris,PV_Gris-,PV_Noir,PV_Noir-,P_cons,P_prod,P_tot
2021-12-17 00:15:12+01:00,0.0,61.87499995576218,14.37500002066372,0.0,71.49999996181577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.74999993824167,0.0,147.74999993824167
2021-12-17 00:15:20+01:00,0.0,83.49999997881241,14.625000017986167,0.0,92.99999999348074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.12499999027932,0.0,191.12499999027932
2021-12-17 00:15:28+01:00,0.0,96.2500000023283,14.37500002066372,0.0,101.87499999301508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.5000000160071,0.0,212.5000000160071
2021-12-17 00:15:36+01:00,0.0,102.99999997369014,14.37500002066372,0.0,107.49999995459802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.87499994895188,0.0,224.87499994895188
2021-12-17 00:15:44+01:00,0.0,95.87499996996485,14.37500002066372,0.0,100.12499993899837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.37499992962694,0.0,210.37499992962694
2021-12-17 00:15:52+01:00,0.0,81.9999999657739,14.500000019324943,0.0,86.37500001350418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.87499999860302,0.0,182.87499999860302
2021-12-17 00:16:00+01:00,0.0,103.12499999417923,14.500000019324943,0.0,107.4999999254942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.12499993899837,0.0,225.12499993899837
2021-12-17 00:16:08+01:00,0.0,103.24999995646067,14.37500002066372,0.0,107.49999998370185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.12499996082624,0.0,225.12499996082624
2021-12-17 00:16:16+01:00,0.0,102.50000000814907,14.500000019324943,0.0,107.24999991361983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.24999994109385,0.0,224.24999994109385
2021-12-17 00:16:24+01:00,0.0,89.50000000186265,14.37500002066372,0.0,95.24999995483086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.12499997735722,0.0,199.12499997735722
2021-12-17 00:16:32+01:00,0.0,62.49999997089617,14.500000019324943,0.0,72.24999999743886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.24999998765998,0.0,149.24999998765998
2021-12-17 00:16:40+01:00,0.0,82.74999997229315,14.500000019324943,0.0,92.62499999022111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.8749999818392,0.0,189.8749999818392
2021-12-17 00:16:48+01:00,0.0,82.87499999278225,14.500000019324943,0.0,92.87500000209548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.25000001420267,0.0,190.25000001420267
2021-12-17 00:16:56+01:00,0.0,82.99999998416752,14.500000019324943,0.0,92.99999999348074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.4999999969732,0.0,190.4999999969732
2021-12-17 00:17:04+01:00,0.0,74.12499998463318,14.500000019324943,0.0,84.1249999939464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.74999999790452,0.0,172.74999999790452
2021-12-17 00:17:12+01:00,0.0,62.624999991385266,14.37500002066372,0.0,72.62500000069849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.62500001274748,0.0,149.62500001274748
2021-12-17 00:17:20+01:00,0.0,82.75000000139698,14.62500001071021,0.0,92.87500000209548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.25000001420267,0.0,190.25000001420267
2021-12-17 00:17:28+01:00,0.0,83.12499997555278,14.500000019324943,0.0,92.87500000209548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.4999999969732,0.0,190.4999999969732
2021-12-17 00:17:36+01:00,0.0,83.12499997555278,14.500000019324943,0.0,93.24999997625127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.874999971129,0.0,190.874999971129
2021-12-17 00:17:44+01:00,0.0,73.99999996414408,14.37500002066372,0.0,83.87500001117587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.24999999598367,0.0,172.24999999598367
2021-12-17 00:17:52+01:00,0.0,63.62499998067506,14.37500002066372,0.0,73.37500000721775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.37500000855653,0.0,151.37500000855653
2021-12-17 00:18:00+01:00,0.0,82.62499998090789,14.500000019324943,0.0,92.12500002468005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.25000002491288,0.0,189.25000002491288
2021-12-17 00:18:08+01:00,0.0,82.87499996367842,14.500000019324943,0.0,92.49999999883585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.8749999818392,0.0,189.8749999818392
2021-12-17 00:18:16+01:00,0.0,83.12499997555278,14.37500002066372,0.0,92.87500000209548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.37499999831198,0.0,190.37499999831198
2021-12-17 00:18:24+01:00,0.0,73.12499996623956,14.500000019324943,0.0,82.99999998416752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.62499996973202,0.0,170.62499996973202
